Id,Name,DepartmentId,CategoryId,CategoryUniqueIdentifier,BrandId,BrandName,LinkId,RefId,IsVisible,Description,DescriptionShort,ReleaseDate,KeyWords,Title,IsActive,TaxCode,MetaTagDescription,SupplierId,ShowWithoutStock,AdWordsRemarketingCode,LomadeeCampaignCode,Score
,Navy Tropical Tapestry Bodysuit,,,2-1-1,,Farm,Navy-Tropical-Tapestry-Bodysuit-P000203230,P000203230,true,"Well, this is something to match all your lonely bottoms in a very-bold way! The Navy Tropical Tapestry Bodysuit hugs you in the right places, and the long sleeves help you deal with the breeze. Oh, the print? It’s a must-have for seasons ahead, trust us! 100% LENZING™ ECOVERO™: LENZING™ ECOVERO™ fibers generate up to 50% lower emissions and water impact compared to generic Viscose.",,2021-10-01T00:00:00,"Women, Bodysuit, Farm, Tropical",Navy Tropical Tapestry Bodysuit,true,,Navy Tropical Tapestry Bodysuit,,true,,,
,Adicolor Shattered Track Jacket,,,2-1-1,,Adidas,Adicolor-Shattered-Track-Jacket-P000205305,P000205305,true,"It's all about perspective. The Trefoil represents creativity, however you chop or shatter it. Wear it on this adidas track jacket and rep your own authentic voice. Lightweight fabric makes it an easy top layer. Zip in and dance to your own beat.",,2021-10-01T00:00:00,"Adidas, Women, Jacket",Adicolor Shattered Track Jacket,true,,Adicolor Shattered Track Jacket,,true,,,
,Adicolor Classics 3-Stripes Tee - Red,,,2-1-1,,Adidas,Adicolor-Classics-3-Stripes-Tee-P000205306,P000205306,true,"Just because you're hanging with your crew all weekend doesn't mean you're going to skip out on style. Pull on this adidas t-shirt and rock an authentic 3-Stripes vibe. Wherever the day takes you, keep it casual and classic.",,2021-10-01T00:00:00,"Adidas, Women, Tshirt",Adicolor Classics 3-Stripes Tee - Red,true,,Adicolor Classics 3-Stripes Tee - Red,,true,,,
,Oversized Corduroy Shirt - Beige,,,2-1-1,,Gap,Oversized-Corduroy-Shirt-P000205309,P000205309,true,Soft corduroy knit. Long sleeves. Button-front collar. Front patch pocket.,,2021-10-01T00:00:00,"Gap, Summer, Women, Shirt",Oversized Corduroy Shirt - Beige,true,,Oversized Corduroy Shirt - Beige,,true,,,
,Vintage Raglan Crewneck Sweatshirt,,,2-1-1,,Levi's,Vintage-Raglan-Crewneck-Sweatshirt-P000205310,P000205310,true,"With its vintage silhouette, this sweatshirt evokes nostalgia. Complete the look with some high-waisted jeans or shorts, and you're set.",,2021-10-01T00:00:00,"Sweatshirt, Women, Levis",Vintage Raglan Crewneck Sweatshirt,true,,Vintage Raglan Crewneck Sweatshirt,,true,,,
,Silvie Big Menswear Shirt,,,2-1-1,,Levi's,Silvie-Big-Menswear-Shirt-P000205316,P000205316,true,"Borrow from the boys with the Levi's® Silvie Big Menswear Shirt. Our take on the classic menswear staple, this oversized button-up delivers a playful take on old-school professionalism.",,2021-10-01T00:00:00,"Shirt, Women, Levis, Oversized",Silvie Big Menswear Shirt,true,,Silvie Big Menswear Shirt,,true,,,
,Organic Cotton Cable Stripe Sweater - White,,,2-1-1,,Tommy Hilfiger,Organic-Cotton-Cable-Stripe-Sweater-P000205318,P000205318,true,"Tommy Hilfiger women's sweater. Made from planet-friendly organic cotton, our stripe sweater is a feel-good layer that happens to look great on you.",,2021-10-01T00:00:00,"Sweater, Cotton, Tommy Hilfiger, Women",Organic Cotton Cable Stripe Sweater - White,true,,Organic Cotton Cable Stripe Sweater - White,,true,,,
,Oversized Badge Cardigan - Ecru,,,2-1-1,,Tommy Hilfiger,Oversized-Badge-Cardigan-P000205321,P000205321,true,Tommy Hilfiger women's sweater. Off-duty days call for oversized sweaters to cozy up in. Just add leggings. Part of our Tommy Jeans collection.,,2021-10-01T00:00:00,"Cardigan, Women, Tommy Hilfiger, Women",Oversized Badge Cardigan - Ecru,true,,Oversized Badge Cardigan - Ecru,,true,,,
,Ripstop-Trim Floral Fleece Pullover,,,2-1-1,,Ralph Lauren,Ripstop-Trim-Floral-Fleece-Pullover-P000205677,P000205677,true,"Made from soft, plush fleece, this eye-catching mockneck pullover features a vibrant floral motif. Signature finishing touches include engraved metal snaps and a vintage-inspired patch at the chest pocket.",,2021-10-01T00:00:00,"Pullover, Ralph Lauren, Women",Ripstop-Trim Floral Fleece Pullover,true,,Ripstop-Trim Floral Fleece Pullover,,true,,,
,Black Macaw Night Mini Skirt,,,2-1-2,,Farm,Black-Macaw-Night-Mini-Skirt-P000205681,P000205681,true,"WOW is the least of compliments you’ll get while wearing this whatever-the-season staple! The Black Macaw Night Mini Skirt has many details to prove us right: a unique waistline, a print to fall head-over-heels for, and beaded tassels at the center-back zipper for that lovely-yet-fancy touch you deserve. Pair this black mini skirt with the Black Macaw Night Blouse for a mind-blowing kind of look!",,2021-10-01T00:00:00,"Skirt, Farm, Women",Black Macaw Night Mini Skirt,true,,Black Macaw Night Mini Skirt,,true,,,
,Levi's Ribcage Short,,,2-1-2,,Farm,Levis-Ribcage-Short-P000205682,P000205682,true,"What a flowerful-way to go through life, hun? With the Levi's Ribcage Shorts you can’t go wrong: it’s an ultra-flattering fave with an ultra-high rise in a vintage-inspired fit. The exclusive print? Oh-so-enchanting, feminine FARM Rio’s touch lent to your traditional denim, in a perfect match to all your fave tees and jackets, don’t you think?",,2021-10-01T00:00:00,"Short, Farm, Levis, Women, Jeans",Levi's Ribcage Short,true,,Levi's Ribcage Short,,true,,,
,Denim Pants,,,2-1-2,,Adidas,Denim-Pants-P000205722,P000205722,true,"The iconic adidas Colorado design lines make a return on these denim pants — and so do some undeniable '80s vibes. They're cut loose with a slightly structured fit that adds dimension and volume. The high-rise waist makes them the perfect companion for bodysuits and cropped tops, two other '80s favorites. Because who doesn't love a theme?",,2021-10-01T00:00:00,"Adidas, Jeans, Women, Pants",Denim Pants,true,,Denim Pants,,true,,,
,Wedgie Fit Ankle Women's Jeans,,,2-1-2,,Levi's,Wedgie-Fit-Ankle-Womens-Jeans-P000205723,P000205723,true,"It's the name you can't forget: Levi's® Wedgie Fit. This vintage-inspired style includes special construction to highlight your curves and give your butt an extra lift. Trust us, you need this jean in your closet.",,2021-10-01T00:00:00,"Jeans, Levis, Women",Wedgie Fit Ankle Women's Jeans,true,,Wedgie Fit Ankle Women's Jeans,,true,,,
,Fiorucci x Adidas Highlight Short,,,2-1-2,,Adidas,Fiorucci-Adidas-Highlight-Short-P000205726,P000205726,true,"Exaggerated style, the Fiorucci way. Channel a little bit of fun from the famed fashion house into your look. Throw on these adidas shorts before you run off into the sunshine.",,2021-10-01T00:00:00,"Adidas, Fiorucci, Short, Women",Fiorucci x Adidas Highlight Short,true,,Fiorucci x Adidas Highlight Short,,true,,,
,Rainbow Crochet Squares Shorts,,,2-1-2,,Farm,Rainbow-Crochet-Squares-Shorts-P000206866,P000206866,true,"WOW is definitely something you’ll say when you see the Rainbow Crochet Squares Shorts <3 It features detailed crochet work, mixing the colors you already love for seasons ahead (yeah, this is so timeless!). It matches your bold tops, puffer jackets, cardigans, and it’s the perfect buddy for the Rainbow Crochet Squares Sweater <3",,2021-10-01T00:00:00,"Rainbow, Short, Crochet, Women, Farm",Rainbow Crochet Squares Shorts,true,,Rainbow Crochet Squares Shorts,,true,,,
,Ultra High-Rise Two-Tone Mom Jeans,,,2-1-2,,Hollister,Ultra-High-Rise-Two-Tone-Mom-Jeans-P000206870,P000206870,true,"Relaxed through the thigh and tapered from knee to ankle, these mom jeans feature Vintage Stretch denim with two-tone coloring. Ultra high-rise waist. Imported.",,2021-10-01T00:00:00,"High-rise, Mom jeans, Women, Hollister",Ultra High-Rise Two-Tone Mom Jeans,true,,Ultra High-Rise Two-Tone Mom Jeans,,true,,,
,Ultra High-Rise Denim Patchwork Mini Skirt,,,2-1-2,,Hollister,Ultra-High-Rise-Denim-Patchwork-Mini-Skirt-P000206871,P000206871,true,"Made of authentic denim, this mini skirt features all-over patchwork detailing. Ultra high-rise waist. Imported.",,2021-10-01T00:00:00,"High-rise, Skirt, Patchwork, Women, Hollister",Ultra High-Rise Denim Patchwork Mini Skirt,true,,Ultra High-Rise Denim Patchwork Mini Skirt,,true,,,
,Womens Superlight Pinus Black Shorts,,,2-1-2,,Osklen,Womens-Superlight-Pinus-Black-Shorts-P000206882,P000206882,true,"Women’s shorts with side pockets, elastic waistband and laser-cut finish. Part of our superlight line. Extremely light fabric, with a satin feel and Iron-free technology: the piece unwrinkles on its own during use, making this product perfect for any time of day.",,2021-10-01T00:00:00,"Osklen, Short, Summer, Women",Womens Superlight Pinus Black Shorts,true,,Womens Superlight Pinus Black Shorts,,true,,,
,LENZING™ ECOVERO™ Midi Skirt,,,2-1-2,,Gap,LENZING-ECOVERO-Midi-Skirt-P000206886,P000206886,true,"Made with 50% LENZING™ ECOVERO™, a fiber produced using pulp derived from certified renewable wood sources. See label for full fiber content. LENZING™ and ECOVERO™ are trademarks of Lenzing AG. Elasticized waist. Side vents. Certain styles have allover prints.",,2021-10-01T00:00:00,"Skirt, Women, Gap",LENZING™ ECOVERO™ Midi Skirt,true,,LENZING™ ECOVERO™ Midi Skirt,,true,,,
,Blue Macaw Flight V Neck Midi Dress,,,2-1-3,,Farm,Blue-Macaw-Flight-V-Neck-Midi-Dress-P000206888,P000206888,true,"A staple that delivers joy: the Blue Macaw Flight V Neck Midi Dress is fresh, timeless, and incredible! It has a cozy fit to follow your bold moves, a WOW neckline, and the print is definitely something to level up whatever plans you have in mind. This blue v neck dress plays well with those fresh sandals you love and the carefree smile that’s always there. Fly higher, baby!",,2021-10-01T00:00:00,"Dress, Farm, Women",Blue Macaw Flight V Neck Midi Dress,true,,Blue Macaw Flight V Neck Midi Dress,,true,,,
,Black Flowerdoscopic Maxi Dress,,,2-1-3,,Farm,Black-Flowerdoscopic-Maxi-Dress-P000206889,P000206889,true,"This is definitely something to hold on to for seasons ahead: the Black Flowerdoscopic Maxi Dress is everything you need to shine all around! It was born to be your wardrobe-hero, that’s why every single detail in it matters: from fit to to its lovely floral print (and everything in between!). Don’t worry, nobody’s judging if you wear it all season(s) long <3",,2021-10-01T00:00:00,"Dress, Farm, Women",Black Flowerdoscopic Maxi Dress,true,,Black Flowerdoscopic Maxi Dress,,true,,,
,Women’s Heritage Zip Neck Contrast Band Polo Dress,,,2-1-3,,Lacoste,Womens-Heritage-Zip-Neck-Contrast-Band-Polo-Dress-P000208500,P000208500,true,"A zip neck and a wide contrasting band bring a distinctive look to this Heritage polo dress. Crafted in a viscose blend interlock, the flowy piece reveals a short, fitted feminine cut. Comfortable and stylish, this is a not-to-be-missed smash hit of the season.",,2021-10-01T00:00:00,"Lacoste, Dress, Women",Women’s Heritage Zip Neck Contrast Band Polo Dress,true,,Women’s Heritage Zip Neck Contrast Band Polo Dress,,true,,,
,Nike Swoosh half zip dress in black,,,2-1-3,,Nike,Nike-Swoosh-Half-Zip-Dress-in-Black-P000208502,P000208502,true,"Key players in everything activewear-related, it doesn’t get more iconic than Nike. Sporting some of the most wanted trainers in the game, browse Air Max 90s and Air Force 1s, as well as Blazer and Waffle One styles. ",,2021-10-01T00:00:00,"Nike, Dress, Women",Nike Swoosh half zip dress in black,true,,Nike Swoosh half zip dress in black,,true,,,
,Adicolor Shattered Trefoil Tee Dress,,,2-1-3,,Adidas,Adicolor-Shattered-Trefoil-Tee-Dress-P000208504,P000208504,true,"Warm weather? Ditch your pants and grab this adidas t-shirt dress. Slip it on and say ""ahhhh"" as your skin delights in the feeling of soft cotton. The shattered Trefoil on the front? A representation of your creative voice and original mind.",,2021-10-01T00:00:00,"Adidas, Dress, Tee, Women",Adicolor Shattered Trefoil Tee Dress,true,,Adicolor Shattered Trefoil Tee Dress,,true,,,
,Loki T-Shirt Dress,,,2-1-3,,Levi's,Loki-T-Shirt-Dress-P000208505,P000208505,true,"What's more fun than a T-shirt dress? A tie-dyed T-shirt dress—especially one this soft and easy. Throw on a pair of sneaks and you're all set for your coffee run, brunch date, fill in the blank here.",,2021-10-01T00:00:00,"Levi's, Dress, Shirt, Women",Loki T-Shirt Dress,true,,Loki T-Shirt Dress,,true,,,
,Linen-Cotton Apron Dress,,,2-1-3,,Gap,Linen-Cotton-Apron-Dress-P000209009,P000209009,true,Stretch linen-cotton weave. Tank straps. Apron neckline. Tie-belt at waist with button-front closure at bottom. Front slant pockets.,,2021-10-01T00:00:00,"Gap, Dress, Cotton, Wome",Linen-Cotton Apron Dress,true,,Linen-Cotton Apron Dress,,true,,,
,Utility Mini Dress,,,2-1-3,,Gap,Utility-Mini-Dress-P000209011,P000209011,true,"Smooth cotton weave. Long sleeves. Band-collar, button-front closure. Tie-belt at waist. Front slant utility pockets.",,2021-10-01T00:00:00,"Gap, Dress, Utility, Women",Utility Mini Dress,true,,Utility Mini Dress,,true,,,
,Women Gestures Short Dress,,,2-1-3,,Osklen,Women-Gestures-Short-Dress-P000209013,P000209013,true,Dress in our exclusive Gestures print. Square neck and adjustable spaghetti straps. Made in viscose.,,2021-10-01T00:00:00,"Osklen, Dress, Mini, Women",Women Gestures Short Dress,true,,Women Gestures Short Dress,,true,,,
,Puff Sleeve Poplin Midi Dress,,,2-1-3,,Abercrombie & Fitch,Puff-Sleeve-Poplin-Midi-Dress-P000209014,P000209014,true,"Flattering midi dress in our super soft poplin fabric, featuring ruffled puff sleeves, portrait neckline and tiered skirt. Imported.",,2021-10-01T00:00:00,"Abercrombie, Fitch, Women, Dress, Midi, Puff",Puff Sleeve Poplin Midi Dress,true,,Puff Sleeve Poplin Midi Dress,,true,,,
,Men's P-6 Logo Responsibili-Tee - Black,,,1-1-1,,Patagonia,Mens-P-6-Logo-Responsibili-Tee-P000209016,P000209016,true,"By utilizing fabric scraps and recycled bottles, this 100% recycled garment reduces our reliance on virgin materials. Know better; do better. Fair Trade Certified™ sewn.",,2021-10-01T00:00:00,"Patagonia, Men, Tshirt, Tee",Men's P-6 Logo Responsibili-Tee - Black,true,,Men's P-6 Logo Responsibili-Tee - Black,,true,,,
,Men's Clean Climb Catalog Regenerative Organic Certified™ Cotton T-Shirt - White,,,1-1-1,,Patagonia,Mens-Clean-Climb-Catalog-Regenerative-Organic-Certified-Cotton-Shirt-P000209017,P000209017,true,"In 1972, Yvon Chouinard committed to making gear that does less harm after seeing how pitons damaged rock. Rooted in this ethos, our Clean Climbing collection features functional, durable products built with recycled materials, or Regenerative Organic Certified™ cotton from farms working toward the highest organic standard, which aims to rehabilitate soil, respect animal welfare and improve the lives of farmers; these practices reduce greenhouse gas emissions and could help trap more carbon than conventional agriculture. Fair Trade Certified™ sewn.",,2021-10-01T00:00:00,"Patagonia, Men, Organic, Cotton, T-shirt",Men's Clean Climb Catalog Regenerative Organic Certified™ Cotton T-Shirt - White,true,,Men's Clean Climb Catalog Regenerative Organic Certified™ Cotton T-Shirt - White,,true,,,
,Blue Version Loop Tee,,,1-1-1,,Adidas,blue-version-loop-tee-P000209019,P000209019,true,"""Blue Version is really about capturing a moment. An obscure or culturally significant highpoint in our past that we want to accelerate and bring forward."" — Originals Senior Design Director, Stefano Pierre Beruschi",,2021-10-01T00:00:00,"Adidas, T-shirt, Tee, Men",Blue Version Loop Tee,true,,Blue Version Loop Tee,,true,,,
,Terrex MYSHELTER PrimaLoft Parley Padded Jacket - White,,,1-1-1,,Adidas,terrex-myshelter-primaloft-parley-padded-jacket-P000209025,P000209025,true,The Terrex MYSHELTER PrimaLoft Parley Padded Jacket is a functional and stylish way to keep warm and comfortable on the trail this winter.,,2021-10-01T00:00:00,"Adidas, Jacket, Terrex, Men",Terrex MYSHELTER PrimaLoft Parley Padded Jacket - White,true,,Terrex MYSHELTER PrimaLoft Parley Padded Jacket - White,,true,,,
,Men's Superlight New Co Jacket,,,1-1-1,,Osklen,mens-superlight-new-co-jacket-P000209030,P000209030,true,"New version of our men’s superlight jacket made from superlight recycled nylon, with a waterproof finish and sealed seams. Ideal for travel and everyday life as it is a practical, light and easy piece to carry. This piece is part of our Redesign Waste project. It was produced with recycled polyamide certified by the GRS (Global Recycle Standard), a raw material made from repurposed fishing nets that were abandoned in the ocean. ",,2021-10-01T00:00:00,"Osklen, Jacket, Superlight, Men",Men's Superlight New Co Jacket,true,,Men's Superlight New Co Jacket,,true,,,
,Men's Zero Gravity French Terry Crew - Black,,,1-1-1,,Nike,sportswear-mens-zero-gravity-french-terry-crew-P000209035,P000209035,true,"If there was ever a shoe that could complement the technical look of spacesuits, it's the AF-1. The Nike Sportswear Zero Gravity Crew brings that idea to life to help give your cold-weather wardrobe a lift. Printed on a premium French terry fabric, the graphic has a smooth feel that's accented by an embroidered Futura logo on the chest.",,2021-10-01T00:00:00,"Nike, Men, T-shirt",Men's Zero Gravity French Terry Crew - Black,true,,Men's Zero Gravity French Terry Crew - Black,,true,,,
,Men's Regular Fit Linen Shirt - Navy,,,1-1-1,,Lacoste,mens-regular-fit-linen-shirt-P000209036,P000209036,true,"Crafted in linen, this summer shirt has a buttoned collar. This fresh and iconic piece is available in a range of the season's hottest colors.",,2021-10-01T00:00:00,"Lacoste, Men, Shirt, Linen",Men's Regular Fit Linen Shirt - Navy,true,,Men's Regular Fit Linen Shirt - Navy,,true,,,
,Utility Shirt Jacket - Tan,,,1-1-1,,Tommy Hilfiger,utility-shirt-jacket-P000210538,P000210538,true,"Tommy Hilfiger men's jacket. Our dialed-up version of the shirt jacket balances workwear utility with urban polish. Made from cotton infused with stretch, it's the perfect 'go anywhere' outer layer for transitional days.",,2021-10-01T00:00:00,"Tommy Hilfiger, Utility, Jacket, Men",Utility Shirt Jacket - Tan,true,,Utility Shirt Jacket - Tan,,true,,,
,Essential Regatta Jacket - Red,,,1-1-1,,Tommy Hilfiger,essential-regatta-jacket-P000210540,P000210540,true,"Tommy Hilfiger men's jacket. Our jacket features a water resistant shell, a mock collar with a packable hood, and reverse entry front pockets. Finished in signature Tommy style with a striped inner collar and hem, and logo branding.",,2021-10-01T00:00:00,"Tommy Hilfiger, Men, Jacket",Essential Regatta Jacket - Red,true,,Essential Regatta Jacket - Red,,true,,,
,Essential Colorblock Sweater,,,1-1-1,,Tommy Hilfiger,essential-colorblock-sweater-P000210547,P000210547,true,"Tommy Hilfiger men's sweater. Made from premium cotton and styled in an easy fit, our sweaters are soft, comfortable layers.",,2021-10-01T00:00:00,"Tommy Hilfiger, Sweater, Men, Colorblock",Essential Colorblock Sweater,true,,Essential Colorblock Sweater,,true,,,
,Mens Basic Linen Tailored Shorts - Black,,,1-1-2,,Osklen,mens-basic-linen-tailored-shorts-P000210548,P000210548,true,"Slim fit shorts. Linen + elastane fabric, for added comfort. Pre-washed and softened.",,2021-10-01T00:00:00,"Osklen, Men, Linen, Shorts",Mens Basic Linen Tailored Shorts - Black,true,,Mens Basic Linen Tailored Shorts - Black,,true,,,
,Mens Fluid Linen Tailored Pants - White,,,1-1-2,,Osklen,mens-fluid-linen-tailored-pants-P000210550,P000210550,true,"Linen + viscose fabric, slim fit, but still very comfotable. Pre-washed and softened.",,2021-10-01T00:00:00,"Osklen, Pants, Linen, Tailored, Men",Mens Fluid Linen Tailored Pants - White,true,,Mens Fluid Linen Tailored Pants - White,,true,,,
,Adicolor Classics Primeblue SST Track Pants - Black,,,1-1-2,,Adidas,adicolor-classics-primeblue-sst-track-pants-P000210563,P000210563,true,"Rumor has it adidas introduced the track suit in '64. We won't confirm, but there's no question the 3-Stripes have spent decades standing out on fields, in stadiums, on streets and everywhere in between. No matter where you are, it somehow never looks out of place. These track pants are clear proof of that. All about ease and comfort, the soft fabric is made from Parley Ocean Plastic yarn that's sourced from upcycled plastic waste.",,2021-10-01T00:00:00,"Adidas, Adicolor, Pants, Men",Adicolor Classics Primeblue SST Track Pants - Black,true,,Adicolor Classics Primeblue SST Track Pants - Black,,true,,,
,R.Y.V. Basic Pants - Black,,,1-1-2,,Adidas,ryv-basic-pants-P000210587,P000210587,true,"These adidas pants are the kind of thing you don't have to think about. Just reach for them and go. You know you'll look good and feel good because the minimalist, soft French terry build takes care of both all in one fell swoop.",,2021-10-01T00:00:00,"Adidas, Pants, RYV",R.Y.V. Basic Pants - Black,true,,R.Y.V. Basic Pants - Black,,true,,,
,514 Straight Fit Men's Jeans,,,1-1-2,,Levi's,514-straight-fit-mens-jeans-P000210588,P000210588,true,Classic straight-fit jeans The right amount of stretch for all-day comfort,,2021-10-01T00:00:00,"Levi's, Men, Jeans, Pants",514 Straight Fit Men's Jeans,true,,514 Straight Fit Men's Jeans,,true,,,
,Men's Baggies Lights - Blue,,,1-1-2,,Patagonia,mens-baggies-lights-shorts-P000212994,P000212994,true,"Multifunctional shorts designed for use in and out of the water, made with quick-drying NetPlus® 96% postconsumer recycled nylon from recycled fishing nets to help reduce ocean plastic pollution, and 4% spandex. Inseam is 6½"".",,2021-10-01T00:00:00,"Patagonia, Baggies, Men",Men's Baggies Lights - Blue,true,,Men's Baggies Lights - Blue,,true,,,
,Men's Strider Pro Running Shorts - Green,,,1-1-2,,Patagonia,mens-strider-pro-running-shorts-7-inch-P000213098,P000213098,true,"Our most technical running shorts. Fast-drying, light and built for long missions when utility is critical. Inseam is 7"". Fair Trade Certified™ sewn.",,2021-10-01T00:00:00,"Patagonia, Men, Shorts, Running",Men's Strider Pro Running Shorts - Green,true,,Men's Strider Pro Running Shorts - Green,,true,,,
,Guard Swim Trunk 5 - Mauve,,,1-1-2,,Hollister,guard-swim-trunk-5-P000213100,P000213100,true,"Shorter-length swim trunks that hit above the knee, interior mesh lining, designed in our ultra-comfortable, 4-way stretch fabric. Featuring a drawstring waistband and mesh-lined side pockets. Imported.",,2021-10-01T00:00:00,"Hollister, Swim, Shorts, Men",Guard Swim Trunk 5 - Mauve,true,,Guard Swim Trunk 5 - Mauve,,true,,,
,Relaxed Essential Shorts - Gray,,,1-1-2,,Abercrombie & Fitch,Relaxed-Essential-Shorts-P000213102,P000213102,true,"Classic 7"" shorts in our softAF fleece fabric and relaxed-fit silhouette, with a thicker waistband for added comfort, exterior drawcords, side pockets and a beveled back pocket for extra storage.  Imported.",,2021-10-01T00:00:00,"Abercrombie, Fitch, Men, Shorts",Relaxed Essential Shorts - Gray,true,,Relaxed Essential Shorts - Gray,,true,,,
,90s Loose Utility Pant - Khaki,,,1-1-2,,Abercrombie & Fitch,90s-loose-utility-pant-P000213687,P000213687,true,"Our newest addition to the 90s Collection, the 90s Loose Utility Pant is designed in a structured canvas fabric with added stretch. These loose-fitting pants are loose through the hip and thigh, featuring utility pockets, wider belt loops and back patch pockets for a more elevated look. Perfect for anything from the office to Happy Hour, these pants are a go-to for everyday casual and elevated outfitting.  Imported.",,2021-10-01T00:00:00,"Abercrombie, Fitch, Men, Pants",90s Loose Utility Pant - Khaki,true,,90s Loose Utility Pant - Khaki,,true,,,
,Samba Vegan Shoes,,,1-2-0,,Adidas,samba-vegan-shoes-P000213692,P000213692,true,"First introduced as an indoor soccer shoe, the adidas Samba has gone on to cover expansive ground. After their time on the field, these shoes made their mark on stages and streets across the globe. Today they look toward a more conscious future. Done up in faux leather, the revamped icon has eliminated any usage of animal based materials. The look is exactly the same as the original, right down to the famous T-toe.",,2021-10-01T00:00:00,"Adidas, Shoes, Samba, Vegan, Men",Samba Vegan Shoes,true,,Samba Vegan Shoes,,true,,,
